,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,peak,hit
266,0.212,https://api.spotify.com/v1/audio-analysis/5QrT8pNtw1UnjqFuSUsenv,0.921,215373,0.373,5QrT8pNtw1UnjqFuSUsenv,0.0,6,0.105,-11.513,1,0.328,125.981,4,https://api.spotify.com/v1/tracks/5QrT8pNtw1UnjqFuSUsenv,audio_features,spotify:track:5QrT8pNtw1UnjqFuSUsenv,0.179,P**** Print,89,0
267,0.118,https://api.spotify.com/v1/audio-analysis/5w3NgfV8v1nNZFLUBlGHIL,0.602,177306,0.929,5w3NgfV8v1nNZFLUBlGHIL,0.0,6,0.103,-2.741,0,0.0839,130.024,4,https://api.spotify.com/v1/tracks/5w3NgfV8v1nNZFLUBlGHIL,audio_features,spotify:track:5w3NgfV8v1nNZFLUBlGHIL,0.677,Light It Up,73,0
268,0.965,https://api.spotify.com/v1/audio-analysis/4h0zU3O9R5xzuTmNO7dNDU,0.71,275280,0.0565,4h0zU3O9R5xzuTmNO7dNDU,0.0,7,0.0889,-15.099,1,0.0534,123.994,4,https://api.spotify.com/v1/tracks/4h0zU3O9R5xzuTmNO7dNDU,audio_features,spotify:track:4h0zU3O9R5xzuTmNO7dNDU,0.348,Lost Boy,24,0
269,0.00312,https://api.spotify.com/v1/audio-analysis/6hmhG1b4LEyNuashVvuIAo,0.583,213428,0.732,6hmhG1b4LEyNuashVvuIAo,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,4,https://api.spotify.com/v1/tracks/6hmhG1b4LEyNuashVvuIAo,audio_features,spotify:track:6hmhG1b4LEyNuashVvuIAo,0.276,Never Forget You,13,0
270,0.0901,https://api.spotify.com/v1/audio-analysis/3AqhGYasXnen5PvLsHL1vc,0.828,216093,0.777,3AqhGYasXnen5PvLsHL1vc,0.0,7,0.0973,-3.356,1,0.0513,120.04,4,https://api.spotify.com/v1/tracks/3AqhGYasXnen5PvLsHL1vc,audio_features,spotify:track:3AqhGYasXnen5PvLsHL1vc,0.867,Girls Talk Boys,68,0
271,0.00589,https://api.spotify.com/v1/audio-analysis/7xrA11O07xo57Bbg6p4hck,0.63,193893,0.74,7xrA11O07xo57Bbg6p4hck,1.53e-06,5,0.248,-4.786,0,0.0381,87.01,4,https://api.spotify.com/v1/tracks/7xrA11O07xo57Bbg6p4hck,audio_features,spotify:track:7xrA11O07xo57Bbg6p4hck,0.3,Body Say,84,0
272,0.0117,https://api.spotify.com/v1/audio-analysis/2Xqd0wUttjueBfdcltADOv,0.838,245387,0.771,2Xqd0wUttjueBfdcltADOv,0.0,1,0.0853,-3.791,1,0.244,175.957,4,https://api.spotify.com/v1/tracks/2Xqd0wUttjueBfdcltADOv,audio_features,spotify:track:2Xqd0wUttjueBfdcltADOv,0.405,No,3,1
273,0.00538,https://api.spotify.com/v1/audio-analysis/3osQ5lSSqZb8HWRozdbVPw,0.773,162365,0.706,3osQ5lSSqZb8HWRozdbVPw,0.0148,0,0.0208,-5.709,1,0.0999,160.912,4,https://api.spotify.com/v1/tracks/3osQ5lSSqZb8HWRozdbVPw,audio_features,spotify:track:3osQ5lSSqZb8HWRozdbVPw,0.693,M.I.L.F. $,34,0
274,0.00172,https://api.spotify.com/v1/audio-analysis/0ntQJM78wzOLVeCUAW7Y45,0.542,203347,0.905,0ntQJM78wzOLVeCUAW7Y45,0.0104,9,0.136,-5.653,1,0.054,153.398,4,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45,audio_features,spotify:track:0ntQJM78wzOLVeCUAW7Y45,0.374,Night's On Fire,81,0
275,0.613,https://api.spotify.com/v1/audio-analysis/3d8y0t70g7hw2FOWl9Z4Fm,0.664,160097,0.573,3d8y0t70g7hw2FOWl9Z4Fm,0.000363,5,0.0857,-6.519,1,0.0277,76.023,4,https://api.spotify.com/v1/tracks/3d8y0t70g7hw2FOWl9Z4Fm,audio_features,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,0.566,Ophelia,66,0
