"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"58",0.12,0.658,204893,0.913,0,0.0506,-5.029,1,0.0511,87.967,0.864,1,4,"0"
"59",0.564,0.801,293040,0.543,0,0.116,-9.236,1,0.091,133.982,0.534,5,4,"0"
"60",0.00433,0.536,228133,0.768,0,0.114,-5.948,0,0.0347,77.217,0.545,10,4,"0"
"61",0.042,0.432,191907,0.738,0,0.119,-3.91,1,0.0309,153.712,0.503,2,4,"0"
"62",0.375,0.655,184227,0.782,0,0.317,-4.789,1,0.185,79.427,0.832,1,4,"0"
"63",0.0225,0.786,157533,0.648,0,0.385,-6.626,1,0.282,140.069,0.0646,9,4,"0"
"64",0.0122,0.558,244453,0.815,0,0.0705,-5.352,1,0.067,157.954,0.638,2,4,"0"
"65",0.0417,0.854,260453,0.645,0.000115,0.103,-8.021,0,0.141,142.053,0.569,6,4,"0"
"66",0.477,0.712,218228,0.763,0.00118,0.114,-6.254,1,0.0867,142.031,0.503,7,4,"0"
"67",0.0175,0.886,207784,0.529,0,0.0997,-5.766,0,0.0383,99.023,0.262,5,4,"0"
"68",0.0499,0.672,235947,0.605,0,0.357,-5.353,1,0.0378,134.015,0.297,7,3,"0"
"69",0.0697,0.733,226581,0.676,0,0.208,-5.655,0,0.0432,97.448,0.701,10,4,"0"
"70",0.0327,0.551,222173,0.604,0,0.0836,-7.448,1,0.0434,76.514,0.18,2,4,"0"
"71",0.241,0.639,234413,0.659,8.33e-06,0.484,-7.273,1,0.215,136.801,0.457,8,4,"0"
"72",0.952,0.537,218787,0.257,3.89e-05,0.0899,-10.447,1,0.0344,127.981,0.169,9,4,"0"
"73",0.0936,0.837,215508,0.662,0.00057,0.113,-5.104,1,0.0486,100.054,0.679,1,4,"0"
"74",0.318,0.525,220133,0.874,2.45e-06,0.232,-3.349,1,0.0322,83.969,0.694,0,4,"0"
"75",0.0284,0.508,225920,0.703,0.00243,0.282,-8.336,0,0.257,86.604,0.298,3,4,"0"
"76",0.097,0.735,238427,0.769,0,0.081,-5.545,0,0.0335,120.001,0.0802,4,4,"0"
"77",0.083,0.428,196000,0.78,0,0.115,-3.472,1,0.0373,147.986,0.431,0,4,"0"
"78",0.125,0.712,236480,0.562,0,0.136,-6.008,1,0.129,140,0.142,10,4,"0"
"79",0.41,0.887,313684,0.584,0.000314,0.101,-8.798,1,0.0381,114.016,0.677,11,4,"0"
"80",0.048,0.511,205851,0.897,0,0.196,-4.492,1,0.07,164.908,0.327,2,4,"0"
"81",0.00535,0.584,195973,0.866,2.92e-05,0.0858,-5.511,1,0.0419,118.005,0.499,10,4,"0"
"82",0.0729,0.41,216840,0.637,3.77e-05,0.732,-6.673,1,0.0327,77.398,0.238,9,4,"0"
