"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"1",0.36,0.744,286236,0.589,0,0.119,-1.218,0,0.0359,127.051,0.242,5,4,"0"
"2",0.0565,0.853,205879,0.547,0,0.341,-7.535,1,0.194,142.065,0.676,1,4,"0"
"3",0.42,0.711,181510,0.662,0,0.0723,-5.947,0,0.175,130.037,0.755,10,4,"0"
"4",0.00767,0.713,262693,0.526,0.000148,0.124,-5.046,1,0.032,131.05,0.131,1,4,"0"
"5",0.164,0.335,241107,0.625,0,0.0708,-7.462,1,0.0386,150.277,0.346,7,4,"0"
"6",0.0462,0.734,202333,0.637,2.29e-05,0.0602,-5.677,0,0.141,169.977,0.648,4,4,"0"
"7",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"0"
"8",0.381,0.66,227427,0.383,0,0.119,-9.377,1,0.0304,83.096,0.381,2,4,"0"
"9",0.216,0.674,256533,0.568,0,0.0863,-7.678,1,0.0349,130.081,0.321,7,4,"0"
"10",0.302,0.497,203373,0.312,0,0.0968,-9.088,0,0.0269,105.036,0.177,11,4,"0"
"11",0.166,0.639,204016,0.651,0,0.131,-5.959,0,0.213,113.976,0.328,5,4,"0"
"12",0.737,0.526,247555,0.406,0.000409,0.114,-10.323,1,0.103,119.388,0.174,0,4,"0"
"13",0.887,0.728,231333,0.253,1.11e-05,0.133,-8.427,1,0.0304,140.923,0.457,0,4,"0"
"14",0.00182,0.606,205746,0.763,0.000159,0.116,-6.197,0,0.0669,130.018,0.309,10,4,"0"
"15",0.0713,0.573,229880,0.789,0,0.229,-5.349,1,0.232,136.08,0.423,8,4,"0"
"16",0.0933,0.813,208027,0.453,0,0.14,-6.941,1,0.338,161.997,0.191,1,4,"0"
"17",0.302,0.696,292987,0.521,0,0.0565,-8.465,0,0.332,100,0.458,10,4,"0"
"18",0.652,0.676,124520,0.56,0,0.462,-6.281,1,0.0611,141.285,0.828,8,4,"0"
"19",0.0186,0.757,251467,0.672,0,0.158,-6.524,0,0.0955,111.996,0.382,0,4,"0"
"20",0.225,0.885,192376,0.801,1.65e-06,0.0733,-4.716,0,0.0882,95.011,0.466,11,4,"0"
"21",0.00205,0.638,263787,0.924,0.000173,0.149,-3.887,1,0.0359,111.995,0.529,7,4,"0"
"22",0.188,0.664,193962,0.738,5.75e-05,0.135,-4.095,0,0.0338,119.973,0.203,9,4,"0"
"23",0.112,0.695,223853,0.774,0,0.148,-4.543,0,0.0944,114.043,0.744,9,4,"0"
"24",0.156,0.774,219147,0.765,0,0.0373,-5.439,0,0.0502,119.001,0.917,4,4,"0"
"25",0.108,0.53,194613,0.433,0,0.135,-10.598,1,0.185,160.14,0.274,6,4,"0"
"26",0.0215,0.688,192191,0.702,0,0.128,-4.792,0,0.0499,94.006,0.74,7,4,"0"
