,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,peak,hit
88,0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.72,251088,0.763,5knuzwU65gJK7IF5yJsuaW,0.0,9,0.18,-4.068,0,0.0523,101.965,4,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742,Rockabye,9,1
89,0.0171,https://api.spotify.com/v1/audio-analysis/7AclP0W2jy6yrbvBiC4prQ,0.61,217467,0.822,7AclP0W2jy6yrbvBiC4prQ,1.88e-06,0,0.093,-4.422,1,0.0355,93.993,4,https://api.spotify.com/v1/tracks/7AclP0W2jy6yrbvBiC4prQ,audio_features,spotify:track:7AclP0W2jy6yrbvBiC4prQ,0.437,Setting The World On Fire,29,0
90,0.116,https://api.spotify.com/v1/audio-analysis/7f08qp3HROTkfrtNpiYGGo,0.685,201893,0.783,7f08qp3HROTkfrtNpiYGGo,0.0,11,0.194,-4.152,1,0.0276,90.008,4,https://api.spotify.com/v1/tracks/7f08qp3HROTkfrtNpiYGGo,audio_features,spotify:track:7f08qp3HROTkfrtNpiYGGo,0.525,Dirt On My Boots,37,0
91,0.1,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,0.585,260253,0.513,2Ch7LmS7r2Gy2kc64wv3Bz,0.0,1,0.147,-7.126,0,0.07,133.387,4,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,audio_features,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,0.533,Die For You,43,0
92,0.097,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK,0.662,194080,0.586,2rizacJSyD9S1IQUxUxnsK,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,https://api.spotify.com/v1/tracks/2rizacJSyD9S1IQUxUxnsK,audio_features,spotify:track:2rizacJSyD9S1IQUxUxnsK,0.296,All We Know,18,0
93,0.114,https://api.spotify.com/v1/audio-analysis/2xbI8Vmyv3TkpTdywpPyNw,0.638,245604,0.6,2xbI8Vmyv3TkpTdywpPyNw,0.0,1,0.187,-5.84,0,0.0438,101.981,4,https://api.spotify.com/v1/tracks/2xbI8Vmyv3TkpTdywpPyNw,audio_features,spotify:track:2xbI8Vmyv3TkpTdywpPyNw,0.0399,Selfish,51,0
94,0.278,https://api.spotify.com/v1/audio-analysis/6U4VqEHy4n5VeiH4pQPL24,0.782,163893,0.751,6U4VqEHy4n5VeiH4pQPL24,0.0,5,0.0367,-7.023,1,0.28,135.277,4,https://api.spotify.com/v1/tracks/6U4VqEHy4n5VeiH4pQPL24,audio_features,spotify:track:6U4VqEHy4n5VeiH4pQPL24,0.688,You're Welcome,65,0
95,0.244,https://api.spotify.com/v1/audio-analysis/5uQOauh47VFt3B2kV9kRXw,0.812,128157,0.621,5uQOauh47VFt3B2kV9kRXw,0.0,5,0.099,-8.3,1,0.0515,77.998,4,https://api.spotify.com/v1/tracks/5uQOauh47VFt3B2kV9kRXw,audio_features,spotify:track:5uQOauh47VFt3B2kV9kRXw,0.847,My Sh*t,86,0
96,0.0244,https://api.spotify.com/v1/audio-analysis/12mGwph2YzDIlChtq3EdXP,0.636,273803,0.953,12mGwph2YzDIlChtq3EdXP,0.0164,2,0.108,-3.74,1,0.0353,142.011,4,https://api.spotify.com/v1/tracks/12mGwph2YzDIlChtq3EdXP,audio_features,spotify:track:12mGwph2YzDIlChtq3EdXP,0.397,Alone,60,0
97,0.326,https://api.spotify.com/v1/audio-analysis/6WAxKNbZoGNzQTIvdMqkFs,0.619,206400,0.539,6WAxKNbZoGNzQTIvdMqkFs,0.0,1,0.106,-5.688,0,0.0409,112.006,4,https://api.spotify.com/v1/tracks/6WAxKNbZoGNzQTIvdMqkFs,audio_features,spotify:track:6WAxKNbZoGNzQTIvdMqkFs,0.39,Sex With Me,83,0
