"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"1",0.0372,0.822,284387,0.734,0,0.325,-5.48,1,0.0738,97.998,0.425,1,4,"0"
"2",0.00199,0.54,178927,0.813,2e-04,0.131,-4.043,0,0.031,116.457,0.573,2,4,"0"
"3",0.0691,0.683,307906,0.684,0,0.124,-4.522,0,0.0643,140.373,0.905,11,4,"0"
"4",0.215,0.77,321987,0.664,0.000118,0.105,-5.604,1,0.211,140.163,0.472,0,4,"0"
"5",0.0363,0.386,181573,0.587,3.71e-06,0.332,-4.454,1,0.0519,96.072,0.0565,10,4,"0"
"6",0.004,0.385,228360,0.866,0,0.111,-2.817,0,0.0697,176.014,0.551,4,4,"0"
"7",0.329,0.255,218507,0.085,6.83e-05,0.201,-17.969,0,0.0359,94.26,0.109,9,4,"0"
"8",0.013,0.888,200080,0.483,4.85e-06,0.0926,-7.797,1,0.154,125.008,0.226,6,4,"0"
"9",0.0128,0.747,213507,0.705,0,0.126,-5.137,0,0.126,136.024,0.56,9,4,"0"
"10",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"0"
"11",0.594,0.664,196280,0.491,0,0.11,-6.544,1,0.042,127.97,0.24,9,4,"0"
"12",0.164,0.479,224280,0.433,0,0.0732,-6.878,0,0.0455,58.396,0.324,0,4,"0"
"13",0.205,0.87,251989,0.464,0,0.0902,-8.337,1,0.178,112.974,0.457,4,4,"0"
"14",0.431,0.484,204280,0.731,0,0.151,-6.694,1,0.0379,101.654,0.51,1,4,"0"
"15",0.0515,0.414,197213,0.826,0.000173,0.254,-3.566,1,0.0372,166.055,0.76,5,4,"0"
"16",0.164,0.335,241107,0.625,0,0.0708,-7.462,1,0.0386,150.277,0.346,7,4,"0"
"17",0.031,0.51,210013,0.747,0,0.233,-4.124,1,0.0651,125.951,0.347,5,4,"0"
"18",0.555,0.635,217419,0.691,0,0.097,-4.862,1,0.258,82.142,0.638,0,4,"0"
"19",0.136,0.458,235387,0.903,8.06e-06,0.146,-4.589,1,0.0493,167.847,0.69,7,4,"0"
"20",0.41,0.887,313684,0.584,0.000314,0.101,-8.798,1,0.0381,114.016,0.677,11,4,"0"
"21",0.0243,0.451,238173,0.893,0,0.0813,-2.721,1,0.0627,139.763,0.0971,7,4,"0"
"22",0.0545,0.506,204093,0.628,0,0.301,-7.316,1,0.173,191.708,0.556,7,4,"0"
"23",0.453,0.682,237840,0.707,0.00733,0.419,-5.611,1,0.207,139.163,0.439,2,4,"0"
"24",0.0144,0.718,269693,0.67,0,0.0851,-5.236,1,0.227,88.764,0.517,1,4,"0"
"25",0.0071,0.56,217573,0.81,7.93e-06,0.241,-8.029,0,0.0872,170.044,0.247,0,4,"0"
"26",0.0539,0.554,153657,0.613,0.000354,0.208,-8.071,1,0.127,95.134,0.247,0,4,"0"
"27",0.859,0.672,226600,0.52,0,0.115,-7.747,1,0.0353,120.001,0.37,8,4,"0"
"28",0.0538,0.584,262280,0.672,0.0481,0.0885,-8.309,1,0.0294,144,0.556,1,4,"0"
"29",0.0405,0.813,221972,0.58,8.45e-06,0.349,-6.724,1,0.0746,100.045,0.443,11,4,"0"
