"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"1",0.0294,0.591,230227,0.741,0,0.11,-5.751,1,0.139,97.048,0.452,0,4,"0"
"2",0.176,0.941,209640,0.323,0,0.205,-10.307,1,0.506,120.036,0.662,10,4,"0"
"3",0.105,0.77,222360,0.567,0,0.125,-5.698,1,0.175,81.477,0.26,2,4,"0"
"4",0.0848,0.506,224000,0.641,8.09e-06,0.073,-4.815,0,0.0456,171.957,0.393,4,3,"0"
"5",0.44,0.767,269187,0.819,0,0.0863,-5.945,0,0.127,92.99,0.583,0,4,"0"
"6",0.0508,0.584,217603,0.569,0,0.0924,-4.259,1,0.166,89.779,0.501,0,4,"0"
"7",0.39,0.712,181880,0.62,0,0.0994,-4.187,1,0.0888,99.953,0.494,4,4,"0"
"8",0.125,0.568,208733,0.669,0,0.111,-4.889,0,0.0794,147.926,0.404,11,4,"0"
"9",0.711,0.69,232600,0.407,0,0.126,-7.739,1,0.0297,111.916,0.181,9,4,"0"
"10",0.695,0.358,211467,0.557,0,0.0902,-7.398,1,0.059,85.043,0.494,10,4,"0"
"11",0.572,0.416,210307,0.773,0,0.105,-3.784,1,0.0949,122.65,0.716,8,4,"0"
"12",0.378,0.746,253107,0.653,0,0.229,-6.745,1,0.289,75.016,0.672,7,4,"0"
"13",0.0189,0.596,240427,0.838,1.54e-05,0.108,-6.52,0,0.0704,94.982,0.472,5,4,"0"
"14",0.606,0.686,230600,0.417,1.79e-06,0.0844,-7.787,1,0.0363,82.407,0.451,7,3,"0"
"15",0.181,0.585,249213,0.612,1.03e-05,0.293,-8.341,1,0.0806,77.487,0.188,1,4,"0"
"16",0.00413,0.653,202805,0.718,0,0.0537,-5.232,0,0.213,82.034,0.216,3,4,"0"
"17",0.406,0.72,251088,0.763,0,0.18,-4.068,0,0.0523,101.965,0.742,9,4,"0"
"18",0.76,0.725,155933,0.276,0,0.116,-12.25,1,0.0599,112.89,0.717,7,4,"0"
"19",0.0312,0.886,177184,0.427,0.00099,0.0906,-10.028,1,0.145,108.034,0.23,6,4,"0"
"20",0.126,0.524,260933,0.76,1.1e-05,0.239,-4.214,1,0.0361,143.991,0.437,5,4,"0"
"21",0.242,0.865,242407,0.687,0,0.158,-3.744,0,0.217,139.023,0.486,10,4,"0"
"22",0.119,0.85,190312,0.405,0.000118,0.0707,-7.509,0,0.225,139.976,0.344,7,4,"0"
"23",0.0556,0.762,221178,0.576,0,0.0866,-4.951,0,0.0829,142.096,0.316,1,4,"0"
"24",0.069,0.843,163944,0.359,0,0.12,-7.417,1,0.461,81.987,0.156,0,4,"0"
